,Team,Player,Num,Yds,Avg,Lg,TB,OB,Ret,RYds,TD,OSK,OSR,Season,Type
0,Philadelphia Eagles,Caleb Sturgis,87,"5,439",62.5,78,46,0,38,712,0,3,0,2016,Kickoffs
0,Philadelphia Eagles,David Akers,94,"6,117",65.1,78,11,1,81,"1,907",0,1,0,2009,Kickoffs
0,Philadelphia Eagles,David Akers,96,"6,135",63.9,74,23,2,69,"1,502",0,2,1,2010,Kickoffs
0,Philadelphia Eagles,Alex Henery,85,"5,433",63.9,73,32,1,51,"1,178",0,1,0,2011,Kickoffs
0,Philadelphia Eagles,Alex Henery,70,"4,405",62.9,76,26,0,41,"1,012",0,3,1,2012,Kickoffs
0,Philadelphia Eagles,Alex Henery,90,"5,583",62.0,71,37,0,52,"1,229",2,2,0,2013,Kickoffs
0,Philadelphia Eagles,Cody Parkey,98,"6,401",65.3,72,46,0,52,"1,183",0,0,0,2014,Kickoffs
0,Philadelphia Eagles,Caleb Sturgis,68,"4,171",61.3,70,39,1,26,533,0,2,0,2015,Kickoffs
1,Philadelphia Eagles,Cody Parkey,13,754,58.0,70,3,1,8,172,0,1,0,2015,Kickoffs
0,New England Patriots,Stephen Gostkowski,91,"6,096",67.0,76,21,0,70,"1,705",0,0,0,2009,Kickoffs
0,New England Patriots,Shayne Graham,57,"3,504",61.5,73,2,0,55,"1,197",0,0,0,2010,Kickoffs
1,New England Patriots,Stephen Gostkowski,42,"2,750",65.5,76,15,1,25,612,1,0,0,2010,Kickoffs
2,New England Patriots,Wes Welker,1,45,45.0,45,0,0,1,15,0,0,0,2010,Kickoffs
0,New England Patriots,Stephen Gostkowski,103,"6,568",63.8,74,41,2,59,"1,275",0,2,0,2011,Kickoffs
1,New England Patriots,Zoltan Mesko,1,64,64.0,64,0,0,1,19,0,0,0,2011,Kickoffs
0,New England Patriots,Stephen Gostkowski,111,"7,061",63.6,73,52,0,59,"1,220",0,1,0,2012,Kickoffs
1,New England Patriots,Zoltan Mesko,1,60,60.0,60,0,0,1,9,0,0,0,2012,Kickoffs
0,New England Patriots,Stephen Gostkowski,99,"6,315",63.8,72,65,1,32,664,0,1,1,2013,Kickoffs
0,New England Patriots,Stephen Gostkowski,99,"6,328",63.9,74,53,1,45,955,0,0,0,2014,Kickoffs
0,New England Patriots,Stephen Gostkowski,99,"6,260",63.2,74,69,0,28,515,0,2,2,2015,Kickoffs
1,New England Patriots,Nate Ebner,2,35,17.5,24,0,1,1,0,0,1,0,2015,Kickoffs
0,New England Patriots,Stephen Gostkowski,93,"5,924",63.7,79,52,1,40,771,0,0,0,2016,Kickoffs
